a_au,e,i_deg,node_deg,peri_deg,mean_anomaly_deg
2.1198,0.1625,13.448,332.18,128.00,272.50
2.1199,0.0311,7.017,317.67,274.40,295.00
2.1207,0.0514,6.158,277.31,245.80,18.09
2.1209,0.2387,15.293,1.00,211.63,172.50
2.1210,0.1270,9.109,305.71,299.36,90.00
2.1211,0.1767,14.958,107.55,355.79,86.80
2.1211,0.0417,7.754,244.96,66.77,320.99
2.1211,0.0411,7.354,247.58,186.95,354.65
2.1214,0.1979,11.310,181.74,229.26,215.43
2.1217,0.2692,3.379,260.55,192.65,95.32
2.1220,0.1197,15.104,180.83,118.81,146.13
2.1222,0.0362,6.835,131.49,162.46,47.30
2.1225,0.1644,3.852,29.45,243.90,124.67
2.1226,0.1283,4.047,313.31,194.84,239.02
2.1231,0.2004,3.741,8.97,190.27,63.53
2.1233,0.1658,13.774,271.83,141.75,335.99
2.1233,0.0394,15.970,320.19,185.17,347.00
2.1236,0.0328,11.628,176.71,37.42,337.79
2.1240,0.0338,3.428,103.95,103.63,278.58
2.1241,0.0603,12.933,168.23,71.23,55.01
2.1245,0.0609,7.806,160.72,84.10,298.90
2.1249,0.0735,8.210,332.98,309.38,12.44
2.1250,0.0938,13.240,160.47,220.91,279.03
2.1260,0.0353,9.994,143.64,240.58,182.95
2.1263,0.0730,6.294,229.15,274.16,316.35
2.1265,0.0986,6.343,333.99,3.96,223.10
2.1268,0.1424,10.318,47.75,133.56,101.63
2.1270,0.0971,3.748,24.77,326.76,10.53
2.1271,0.1214,11.617,142.78,105.54,312.12
2.1277,0.1177,7.114,73.27,136.47,113.27
2.1281,0.1991,8.246,260.73,339.70,159.43
2.1283,0.2425,9.857,230.51,278.14,131.02
2.1284,0.0324,3.823,49.41,187.64,95.47
2.1287,0.0572,8.210,205.82,285.96,127.65
2.1294,0.0297,7.594,265.91,340.69,101.90
2.1294,0.2448,11.019,302.32,174.03,50.43
2.1296,0.1839,3.398,107.45,118.64,291.53
2.1300,0.0820,11.388,113.08,86.71,28.95
2.1301,0.2531,3.260,188.21,198.12,170.03
2.1302,0.1407,1.829,136.34,229.47,44.20
2.1304,0.1184,3.041,202.48,236.99,142.41
2.1305,0.0392,19.555,180.96,336.97,206.06
2.1308,0.1788,6.292,174.86,99.45,337.30
2.1310,0.1654,3.570,95.64,355.56,174.35
2.1310,0.1325,7.387,350.11,334.28,94.33
2.1314,0.2691,18.921,353.58,264.17,329.57
2.1324,0.1837,11.646,71.74,279.37,320.78
2.1325,0.1702,21.815,85.83,249.56,355.59
2.1327,0.1599,3.106,97.73,220.36,38.41
2.1329,0.1542,8.681,29.96,272.64,138.89
2.1331,0.2904,13.339,180.07,25.00,71.54
2.1335,0.0962,17.174,344.44,23.03,12.08
2.1342,0.1290,18.296,142.37,136.50,148.35
2.1347,0.2432,9.756,19.21,43.35,237.92
2.1350,0.1522,15.198,90.70,64.87,105.98
2.1352,0.1526,4.128,106.46,258.06,70.55
2.1355,0.1572,13.777,19.72,93.39,41.61
2.1355,0.0353,4.227,44.15,269.48,35.84
2.1356,0.0600,12.714,109.48,68.52,351.77
2.1359,0.1763,18.451,14.89,266.33,32.67
2.1360,0.1737,5.662,137.55,102.23,54.74
2.1362,0.1890,5.108,295.79,45.37,199.56
2.1363,0.1137,14.944,43.25,206.14,100.80
2.1365,0.0326,12.775,64.46,340.22,67.45
2.1365,0.0393,11.378,11.11,286.06,271.62
2.1366,0.1569,25.538,357.97,324.50,8.78
2.1368,0.0933,12.414,52.38,282.42,13.17
2.1369,0.0994,3.527,47.92,99.28,355.75
2.1369,0.0602,20.372,246.54,267.32,306.66
2.1370,0.1119,11.001,1.36,75.28,42.21
2.1376,0.0914,13.505,92.77,167.57,351.80
2.1379,0.2700,6.519,220.92,354.12,277.56
2.1380,0.1435,7.820,147.85,52.66,100.69
2.1382,0.1801,6.359,282.26,43.34,185.89
2.1383,0.2484,4.098,171.73,358.35,122.88
2.1387,0.1227,4.068,7.23,53.55,233.65
2.1388,0.1102,5.643,288.24,303.74,64.61
2.1391,0.1056,6.882,56.49,11.09,277.17
2.1394,0.1905,16.522,298.62,225.05,239.61
2.1396,0.1135,8.090,68.04,37.02,236.68
2.1397,0.1908,6.125,202.38,127.87,176.51
2.1400,0.1796,8.904,97.55,33.68,310.12
2.1401,0.0604,12.657,234.28,274.21,16.70
2.1403,0.1117,11.200,330.07,14.41,241.72
2.1403,0.0779,4.221,59.66,86.05,17.46
2.1406,0.1305,3.319,60.49,159.59,302.81
2.1406,0.0985,11.770,69.33,273.87,307.04
2.1408,0.1480,12.418,292.73,39.30,220.35
2.1410,0.1665,7.263,230.25,328.80,232.67
2.1411,0.1696,12.938,336.25,165.07,22.31
2.1413,0.1955,13.360,223.54,332.46,49.95
2.1414,0.1242,6.696,34.45,63.59,171.03
2.1415,0.0660,7.631,158.13,333.19,13.88
2.1415,0.0914,3.761,257.17,281.05,24.81
2.1431,0.0907,12.056,307.38,1.72,255.10
2.1433,0.1577,15.750,153.89,344.92,228.52
2.1437,0.1916,6.558,148.91,136.00,244.93
2.1439,0.1098,7.776,311.56,5.32,166.42
2.1439,0.1208,11.664,64.40,335.58,284.72
2.1440,0.2435,2.970,329.94,219.86,224.47
2.1441,0.0913,4.406,218.78,197.42,347.84
2.1442,0.1009,6.156,185.35,95.79,343.12
2.1449,0.1113,5.465,63.47,207.93,158.01
2.1450,0.1499,13.640,31.56,120.95,290.29
2.1451,0.1523,11.636,259.41,153.34,15.44
2.1451,0.0345,8.024,251.76,48.20,64.96
2.1452,0.0231,5.988,280.24,300.52,268.52
2.1456,0.0968,12.793,202.57,314.02,282.68
2.1463,0.3398,16.251,217.85,38.79,172.26
2.1465,0.1539,13.596,83.36,177.33,126.38
2.1474,0.1954,16.552,119.84,41.97,71.29
2.1475,0.0801,4.254,196.37,10.35,223.94
2.1486,0.1170,6.100,194.18,25.00,161.65
2.1487,0.0069,6.473,326.98,334.68,10.59
2.1487,0.1784,13.034,216.01,273.37,289.29
2.1491,0.2210,15.967,29.99,241.11,275.05
2.1493,0.1172,7.505,348.22,171.48,3.22
2.1495,0.1394,10.904,229.08,155.76,316.38
2.1498,0.1755,8.534,186.21,309.14,147.52
2.1501,0.1079,9.360,65.75,151.64,109.71
2.1503,0.1089,12.871,84.65,20.59,149.12
2.1506,0.1549,10.546,232.23,96.97,175.79
2.1508,0.0468,15.255,284.96,332.04,308.45
2.1510,0.2529,11.147,230.63,38.64,73.40
2.1511,0.1276,13.252,129.15,69.53,122.32
2.1522,0.0229,12.651,187.84,244.11,233.01
2.1524,0.1240,9.048,95.35,0.73,349.09
2.1528,0.1354,7.331,121.47,14.33,158.50
2.1533,0.1684,13.810,267.22,227.64,233.10
2.1545,0.1261,13.007,151.52,223.76,83.36
2.1545,0.2236,15.389,199.22,151.54,275.12
2.1547,0.1586,4.196,166.43,177.18,249.07
2.1547,0.0219,9.631,359.14,170.07,252.24
2.1550,0.1662,5.167,196.45,36.04,252.46
2.1551,0.1986,12.129,219.07,344.10,353.49
2.1557,0.1239,17.856,127.07,272.21,279.93
2.1560,0.0858,3.745,349.59,271.59,342.54
2.1562,0.1996,13.106,2.43,38.00,283.87
2.1564,0.2030,6.469,346.36,167.12,354.32
2.1564,0.1290,9.094,69.45,127.70,326.09
2.1566,0.1208,9.775,18.04,270.99,212.01
2.1567,0.2685,22.792,2.54,137.93,281.53
2.1570,0.1667,8.543,221.26,310.08,355.79
2.1570,0.0428,8.389,167.25,91.44,171.52
2.1571,0.1053,13.021,278.44,92.98,238.64
2.1572,0.1398,1.552,183.65,185.80,245.72
2.1578,0.1336,12.082,46.43,28.50,170.01
2.1580,0.2320,10.110,43.13,70.01,339.87
2.1583,0.1582,6.584,152.46,169.79,306.41
2.1584,0.1514,12.195,195.13,54.88,139.03
2.1584,0.1766,1.837,126.77,268.98,258.01
2.1586,0.0652,6.754,163.21,134.33,79.06
2.1587,0.1136,9.034,194.39,52.23,77.72
2.1588,0.0245,21.358,337.84,55.69,132.85
2.1589,0.1435,20.979,11.27,146.53,246.79
2.1590,0.1790,14.941,339.46,186.66,207.36
2.1594,0.0283,13.351,126.46,119.11,219.77
2.1595,0.0470,8.039,142.05,116.30,201.09
2.1602,0.1236,12.029,188.64,170.00,19.05
2.1603,0.1587,5.853,158.88,182.83,158.81
2.1608,0.2288,12.738,157.14,203.70,47.33
2.1609,0.1517,7.855,328.23,328.32,229.31
2.1617,0.1087,14.199,179.01,341.64,48.42
2.1624,0.1079,7.149,121.44,156.54,165.69
2.1625,0.1826,10.087,30.61,8.97,105.07
2.1627,0.2155,8.399,20.13,204.01,175.70
2.1627,0.1027,5.970,115.88,328.70,199.83
2.1633,0.1109,9.729,93.84,106.82,330.19
2.1634,0.2474,9.453,130.42,284.89,91.70
2.1638,0.1564,26.823,306.35,44.46,143.13
2.1639,0.1118,8.555,101.99,134.71,134.36
2.1643,0.0985,16.849,174.62,143.16,94.53
2.1644,0.0499,7.810,70.45,182.32,114.65
2.1645,0.1784,9.230,150.72,42.15,345.05
2.1646,0.0209,4.057,195.68,197.32,255.88
2.1650,0.1071,9.304,195.17,81.79,241.08
2.1653,0.0950,6.944,107.45,198.71,150.73
2.1656,0.0005,8.327,103.77,78.92,351.53
2.1658,0.1810,3.418,92.28,28.68,59.46
2.1660,0.0974,27.452,47.78,165.47,163.14
2.1664,0.0835,8.463,2.70,292.77,321.40
2.1665,0.1464,7.702,21.25,295.40,307.17
2.1668,0.2057,4.000,93.41,147.97,326.91
2.1669,0.2585,3.836,288.32,334.75,207.88
2.1671,0.0907,1.652,210.20,337.41,253.11
2.1671,0.0988,9.656,309.81,83.80,194.41
2.1685,0.2164,18.659,30.53,274.15,81.75
2.1686,0.1473,11.021,344.93,88.16,58.36
2.1688,0.2475,11.808,256.35,5.94,238.29
2.1690,0.1794,6.386,279.23,311.95,262.53
2.1692,0.2610,2.363,33.16,135.25,123.71
2.1694,0.1692,13.587,327.77,7.18,319.31
2.1696,0.0764,7.337,308.36,94.04,14.17
2.1700,0.1739,15.928,163.54,211.70,275.82
2.1700,0.0825,9.851,229.16,293.13,148.59
2.1700,0.0475,0.733,119.80,319.07,231.25
2.1701,0.1880,10.440,231.71,13.55,204.73
2.1704,0.1060,7.651,191.08,323.74,58.05
2.1706,0.2329,16.485,49.84,62.22,286.05
2.1711,0.1716,4.007,257.45,182.43,148.01
2.1713,0.1308,10.137,291.65,113.70,92.59
2.1716,0.0970,5.281,299.81,147.20,150.52
2.1720,0.0552,13.082,285.14,131.26,33.17
2.1723,0.0683,9.222,23.74,87.31,260.06
2.1724,0.1578,9.574,248.73,259.40,310.13
2.1724,0.0243,4.709,150.67,189.80,291.62
2.1730,0.0624,19.266,274.16,97.97,50.56
2.1732,0.0904,10.956,138.47,301.59,202.64
2.1734,0.1407,16.177,135.49,164.65,325.78
2.1744,0.1685,7.508,245.47,121.17,10.46
2.1749,0.0803,9.747,317.56,199.49,189.15
2.1751,0.2731,13.529,176.30,334.04,176.28
2.1754,0.1559,16.242,134.54,178.70,72.90
2.1754,0.0296,8.459,11.81,196.66,74.76
2.1755,0.1081,13.399,26.69,158.31,242.31
2.1758,0.1558,15.634,134.53,201.10,120.07
2.1760,0.1502,5.015,187.89,79.84,169.20
2.1762,0.0919,6.992,65.51,339.29,221.21
2.1764,0.1253,14.580,133.62,137.71,1.61
2.1764,0.1457,10.779,157.45,195.63,168.96
2.1766,0.1900,13.036,318.75,140.00,272.00
2.1768,0.1252,19.304,343.08,225.82,39.87
2.1770,0.0300,11.917,31.22,34.41,60.01
2.1772,0.1680,3.455,254.09,346.04,250.49
2.1773,0.2527,5.916,102.40,181.08,125.18
2.1774,0.1336,18.734,257.30,56.77,28.23
2.1778,0.1303,4.603,191.68,164.20,291.89
2.1778,0.2371,23.659,45.20,200.10,351.61
2.1779,0.0612,19.059,66.70,97.32,31.07
2.1783,0.2006,5.210,212.86,298.98,255.34
2.1789,0.2067,7.015,114.52,162.02,272.10
2.1794,0.1805,9.484,135.81,36.85,18.99
2.1794,0.1279,3.337,228.86,46.41,183.82
2.1798,0.1770,0.858,125.06,141.95,312.03
2.1800,0.0714,16.125,138.89,18.09,139.18
2.1802,0.0466,13.330,222.90,286.56,168.81
2.1805,0.2440,22.056,242.87,302.18,45.09
2.1809,0.1591,10.460,338.74,89.85,143.94
2.1813,0.0857,3.340,297.98,24.93,40.39
2.1814,0.2681,3.299,322.69,244.70,326.25
2.1814,0.1302,9.099,98.65,162.16,326.00
2.1821,0.1787,15.238,227.52,61.64,300.99
2.1822,0.0378,6.950,265.30,299.69,272.19
2.1825,0.2009,6.064,240.12,200.66,303.93
2.1826,0.2480,16.945,132.71,113.98,33.34
2.1826,0.1183,19.086,320.29,141.28,179.06
2.1828,0.1816,15.623,128.28,305.71,320.77
2.1828,0.1248,0.804,321.33,44.41,261.05
2.1836,0.1699,4.729,209.85,171.08,123.07
2.1839,0.0981,7.755,313.78,227.00,140.91
2.1841,0.0901,10.811,225.12,44.68,239.48
2.1842,0.1340,6.217,253.93,128.56,339.47
2.1846,0.2229,11.945,279.14,238.47,23.79
2.1846,0.1939,7.131,133.63,132.85,61.25
2.1847,0.1799,4.857,26.09,159.71,49.18
2.1849,0.1764,13.543,338.84,129.62,323.98
2.1851,0.1862,12.986,94.01,45.21,276.30
2.1851,0.1586,12.030,145.72,155.52,67.83
2.1851,0.0725,15.376,356.21,256.57,252.53
2.1852,0.1536,11.156,4.61,340.24,178.46
2.1853,0.0788,10.897,312.70,135.97,241.28
2.1853,0.2544,4.784,139.00,163.36,24.60
2.1855,0.2536,13.167,172.17,223.65,13.12
2.1855,0.1241,8.566,217.69,284.70,323.06
2.1860,0.2212,2.792,67.11,64.54,237.50
2.1860,0.0477,8.324,341.79,1.72,56.78
2.1861,0.2349,13.294,90.48,149.74,65.57
2.1864,0.1830,5.803,140.00,339.75,180.04
2.1867,0.1272,11.486,325.46,164.64,337.85
2.1871,0.1962,15.906,296.75,230.63,18.10
2.1871,0.0410,13.176,292.04,95.42,20.24
2.1879,0.1161,9.836,329.26,184.75,173.80
2.1880,0.2598,14.891,217.22,265.33,111.92
2.1885,0.0571,14.116,231.95,302.62,229.02
2.1887,0.0939,3.479,66.02,173.89,125.93
2.1888,0.2142,13.725,26.59,139.69,300.70
2.1892,0.2127,21.099,182.81,343.30,273.57
2.1905,0.2280,7.873,22.23,175.96,96.37
2.1907,0.1409,6.624,239.09,157.21,102.48
2.1911,0.0684,19.265,327.37,143.88,342.31
2.1915,0.1846,5.975,125.02,183.91,30.21
2.1917,0.1316,12.869,158.63,241.12,84.87
2.1917,0.2831,9.801,290.23,125.17,142.15
2.1918,0.1372,14.234,278.62,108.90,286.08
2.1918,0.1681,6.138,67.38,160.57,102.56
2.1919,0.0829,7.720,109.52,330.32,130.76
2.1928,0.1520,19.385,298.84,17.99,131.62
2.1931,0.0184,15.183,56.08,243.70,284.86
2.1931,0.0833,13.259,240.24,321.97,116.42
2.1933,0.1572,9.568,183.34,237.65,198.71
2.1936,0.2667,5.989,21.09,200.19,280.43
2.1938,0.1017,9.327,168.36,213.93,205.95
2.1942,0.1783,3.370,336.39,181.87,29.28
2.1944,0.0669,6.905,236.92,268.69,199.06
2.1946,0.0871,10.402,226.53,189.61,254.32
2.1947,0.2658,11.378,260.38,336.23,82.56
2.1953,0.0232,4.929,117.53,150.86,249.61
2.1953,0.2806,8.632,237.54,234.65,175.13
2.1953,0.1292,11.940,115.80,200.32,190.06
2.1954,0.2775,6.023,127.43,61.08,221.26
2.1955,0.0838,5.860,64.66,311.99,51.46
2.1959,0.1226,8.682,184.64,125.37,311.49
2.1960,0.1517,13.067,245.97,170.07,306.73
2.1967,0.0754,22.546,104.80,147.82,354.64
2.1968,0.2576,5.137,170.41,154.12,143.82
2.1968,0.0908,8.646,336.53,231.70,233.19
2.1969,0.0881,4.964,67.98,197.52,310.03
2.1969,0.1721,13.651,240.39,354.78,2.96
2.1974,0.1535,14.946,77.98,76.41,322.29
2.1974,0.1820,6.926,46.16,303.50,127.40
2.1979,0.0934,20.536,276.59,100.69,70.06
2.1981,0.2114,9.083,267.39,329.83,280.77
2.1982,0.2907,8.278,46.30,82.76,209.17
2.1983,0.1525,14.881,303.29,30.21,280.22
2.1984,0.1260,8.087,154.28,35.76,94.63
2.1988,0.1697,9.054,88.32,6.17,283.61
2.1989,0.1293,13.174,18.93,2.46,353.38
2.1990,0.0696,22.433,52.46,121.29,295.28
2.1991,0.1564,9.480,349.89,62.11,321.16
2.1993,0.1041,5.938,44.21,336.46,191.10
2.1994,0.1272,4.937,184.85,160.57,278.47
2.1994,0.1572,3.687,59.83,96.15,257.92
2.1995,0.1019,9.740,100.67,77.44,60.37
2.1996,0.1173,20.424,85.71,9.75,281.70
2.1996,0.3485,9.433,340.91,283.76,7.89
2.1996,0.0880,13.668,264.75,105.41,196.45
2.1997,0.0502,17.669,28.56,295.64,275.88
2.1999,0.1864,9.359,90.91,26.75,351.43
2.2001,0.1129,5.343,109.31,263.46,164.15
2.2001,0.0703,25.037,161.62,12.10,89.74
2.2007,0.1622,19.565,184.45,220.91,79.02
2.2008,0.2153,12.627,180.98,212.83,200.16
2.2009,0.1289,9.079,293.62,79.94,162.40
2.2009,0.1237,9.229,246.24,92.29,132.67
2.2011,0.0993,13.299,323.44,5.46,259.46
2.2015,0.1173,4.510,321.97,61.13,241.35
2.2015,0.0253,4.454,337.39,132.00,252.05
2.2020,0.0187,10.958,32.98,39.94,114.80
2.2022,0.0651,16.216,11.33,214.11,224.09
2.2023,0.0412,2.311,204.09,105.95,51.85
2.2028,0.1687,6.045,332.04,20.72,294.36
2.2030,0.2389,3.226,10.63,342.02,105.93
2.2031,0.3033,23.223,324.00,300.84,8.91
2.2031,0.0543,12.903,208.60,103.93,215.85
2.2032,0.0983,23.549,201.68,271.76,355.67
2.2034,0.0646,5.379,264.02,262.35,68.59
2.2035,0.1929,12.680,262.15,304.19,236.74
2.2037,0.1524,6.332,90.39,210.43,301.61
2.2040,0.2322,5.395,323.50,171.93,252.55
2.2041,0.0562,13.495,184.73,62.59,309.15
2.2042,0.1259,7.551,285.16,93.97,108.50
2.2042,0.2616,13.755,279.85,127.45,153.78
2.2043,0.1384,6.700,324.50,18.56,53.06
2.2044,0.1610,8.412,104.81,89.59,27.65
2.2046,0.0452,6.045,173.88,45.61,297.86
2.2052,0.0270,17.812,27.66,175.06,70.20
2.2053,0.0312,6.935,105.94,89.26,40.47
2.2053,0.1473,6.991,222.71,114.35,325.41
2.2055,0.1160,24.941,25.18,301.32,172.08
2.2057,0.2776,7.490,95.91,191.21,126.82
2.2058,0.1076,10.308,120.80,315.12,148.89
2.2060,0.1607,10.972,4.78,225.92,173.30
2.2062,0.0986,4.985,287.13,126.97,349.33
2.2062,0.1359,15.472,122.63,265.75,252.70
2.2064,0.1978,13.640,98.15,246.31,176.87
2.2064,0.1075,8.743,76.01,333.91,97.96
2.2066,0.0904,6.515,107.89,249.16,123.30
2.2069,0.0646,10.161,214.46,244.91,291.17
2.2070,0.2134,7.241,322.23,343.65,293.47
2.2070,0.1831,16.391,197.29,288.06,148.34
2.2071,0.1835,20.237,255.40,183.03,312.31
2.2071,0.2491,8.509,160.01,28.36,145.12
2.2073,0.0566,8.511,124.06,41.50,79.62
2.2076,0.1243,7.960,47.57,181.30,48.43
2.2076,0.0707,5.899,349.45,318.49,316.47
2.2078,0.1411,11.068,192.70,284.62,173.92
2.2084,0.0042,16.727,330.75,238.51,41.77
2.2085,0.1024,13.990,45.87,159.78,127.23
2.2086,0.1100,9.765,187.24,4.86,169.83
2.2086,0.1331,3.294,340.04,312.29,157.97
2.2087,0.1728,7.680,228.25,92.03,289.92
2.2089,0.1298,3.497,99.13,327.42,307.83
2.2090,0.0896,16.902,10.76,124.94,342.61
2.2090,0.0445,13.241,72.15,161.65,36.14
2.2090,0.0297,11.770,143.77,283.11,59.44
2.2095,0.1869,6.845,234.00,74.93,19.39
2.2100,0.0677,12.244,353.00,276.84,6.07
2.2107,0.2385,6.521,172.83,189.92,248.12
2.2108,0.0732,14.420,339.79,260.12,288.49
2.2109,0.0751,3.308,24.34,202.44,213.32
2.2109,0.0554,10.273,245.47,157.39,111.11
2.2109,0.0961,9.462,57.08,2.82,76.28
2.2111,0.1892,13.535,307.33,305.83,242.56
2.2115,0.1323,14.759,241.92,312.49,268.64
2.2116,0.1713,10.924,173.80,21.41,219.97
2.2118,0.1713,19.933,210.84,228.37,138.42
2.2121,0.1916,16.307,219.83,304.44,308.59
2.2121,0.0864,12.586,107.39,74.32,138.56
2.2122,0.2834,19.189,164.85,140.20,160.46
2.2123,0.1383,18.078,161.37,303.88,90.59
2.2127,0.1663,8.469,43.79,111.81,341.42
2.2128,0.2015,8.833,107.66,338.94,178.15
2.2131,0.1898,15.035,124.71,225.19,83.83
2.2133,0.1460,5.749,204.27,217.39,270.19
2.2135,0.2113,6.243,96.44,279.06,85.49
2.2138,0.1099,10.283,220.17,18.16,180.13
2.2140,0.0209,14.003,6.83,155.80,102.20
2.2142,0.1328,21.388,278.00,198.91,285.05
2.2144,0.0588,10.339,288.23,92.35,295.31
2.2146,0.0458,21.336,106.04,141.55,10.52
2.2147,0.0967,8.478,164.52,323.52,296.04
2.2148,0.1358,9.946,288.93,52.03,317.28
2.2149,0.1850,7.475,191.05,309.52,299.59
2.2156,0.1818,2.055,207.23,341.94,11.90
2.2156,0.1249,6.781,286.95,168.48,77.09
2.2158,0.2066,22.120,241.39,260.12,82.10
2.2161,0.0316,8.804,302.86,168.26,278.26
2.2163,0.0645,16.109,256.64,23.96,174.26
2.2164,0.1027,8.878,195.31,317.77,30.88
2.2169,0.0753,11.017,111.40,129.30,97.72
2.2171,0.1269,2.815,288.16,52.30,7.24
2.2172,0.0488,7.738,291.79,110.29,213.33
2.2172,0.1515,25.987,325.32,278.67,78.41
2.2177,0.0566,18.699,274.62,96.34,92.01
2.2180,0.1929,9.001,220.93,289.07,324.08
2.2180,0.1740,9.313,259.97,301.07,138.16
2.2181,0.0790,4.167,294.71,358.16,3.00
2.2182,0.1768,5.537,240.39,261.36,236.82
2.2185,0.1179,11.241,123.16,277.93,10.81
2.2189,0.1133,12.359,53.41,226.74,318.54
2.2189,0.0946,14.582,215.60,112.56,87.68
2.2192,0.0644,8.420,109.75,319.12,221.46
