body,name,lat,lon,diameter_km,kind
callisto,Alfr,-9.9000,137.3000,96.0,Crater
callisto,Jalkr,-38.6000,-82.7000,93.5,Crater
callisto,Skuld,10.0000,-37.9000,91.8,Crater
callisto,Oluksak,-47.8000,-63.5000,86.7,Crater
callisto,Buri,-37.5000,-45.5000,86.0,Crater
callisto,Bavörr,49.1000,-20.0000,85.3,Crater
callisto,Loni,-3.6000,145.7000,85.0,Crater
callisto,Sid Catena,49.2000,-103.9000,81.4,Catena
callisto,Hoenir,-33.7000,99.1000,81.1,Crater
callisto,Akycha,72.6000,41.3000,81.0,Crater
callisto,Audr,-30.9000,-80.6000,80.8,Crater
callisto,Seqinek,55.5000,-25.4000,80.7,Crater
callisto,Finnr,15.5000,-4.3000,80.0,Crater
callisto,Ymir,51.5000,-99.7000,79.0,Crater
callisto,Fadir,56.6000,-12.6000,78.6,Crater
callisto,Bran,-24.2000,154.4000,78.0,Crater
callisto,Vidarr,12.1000,166.6000,78.0,Crater
callisto,Vestri,45.3000,-52.5000,77.3,Crater
callisto,Hödr,69.1000,-89.2000,76.5,Crater
callisto,Högni,-11.8000,-4.8000,76.0,Crater
callisto,Tindr,-2.3000,4.5000,75.8,Crater
callisto,Brami,28.8000,-19.0000,75.7,Crater
callisto,Numi-Torum,-50.1000,-92.9000,75.6,Crater
callisto,Burr,42.7000,-134.5000,75.4,Crater
callisto,Veralden,33.3000,-95.5000,75.2,Crater
callisto,Yuryung,-54.7000,-85.7000,75.1,Crater
callisto,Ivarr,-5.8000,38.6000,73.1,Crater
callisto,Vitr,-22.1000,10.6000,72.8,Crater
callisto,Rigr,70.8000,115.4000,72.5,Crater
callisto,Haki,25.0000,44.9000,72.2,Crater
callisto,Lodurr,-50.8000,89.9000,72.0,Crater
callisto,Ajleke,22.7000,-101.4000,70.0,Crater
callisto,Sudri,55.9000,-135.6000,69.5,Crater
callisto,Barri,-31.5000,-70.5000,69.0,Crater
callisto,Askr,51.8000,35.9000,68.8,Crater
callisto,Tyll,44.8000,-166.5000,68.7,Crater
callisto,Höldr,43.9000,-108.2000,68.1,Crater
deimos,Voltaire,22.0000,-3.5000,1.9,Crater
deimos,Swift,12.5000,1.8000,1.0,Crater
dione,Palatine Chasmata,-48.0000,44.0000,1100.0,Chasma
dione,Padua Chasmata,17.7000,112.8300,1025.0,Chasma
dione,Eurotas Chasmata,4.9400,58.6500,1000.0,Chasma
dione,Janiculum Dorsa,24.6000,-144.1000,900.0,Dorsum
dione,[Padua Linea],-20.0000,149.3000,780.0,Linea
dione,[Palatine Linea],-40.6000,54.6000,645.0,Linea
dione,Fidena Fossae,0.6600,-96.0000,550.0,Fossa
dione,Carthage Fossae,11.9300,23.2500,500.0,Fossa
dione,Andromache,5.8500,71.6400,439.0,Crater
dione,Drepanum Chasma,-46.0000,95.0000,360.0,Chasma
dione,Latium Chasma,20.0000,-63.9300,360.0,Chasma
dione,Evander,-57.0000,-145.0000,350.0,Crater
dione,Arpi Fossae,47.4700,-130.8000,330.0,Fossa
dione,[Carthage Linea],12.7000,38.1000,318.0,Linea
dione,Aurunca Chasmata,11.5600,93.3000,290.0,Chasma
dione,Aufidus Catena,-78.0000,63.6000,275.0,Catena
dione,Clusium Fossae,39.2700,58.4600,260.0,Fossa
dione,Petelia Fossae,-8.1600,-82.4300,225.0,Fossa
dione,Argiletum Fossae,65.1800,-32.1000,224.0,Fossa
dione,Pantagias Catenae,-15.3000,-141.7000,200.0,Catena
dione,Pactolus Catena,8.7900,32.8500,180.0,Catena
dione,Aeneas,25.8900,-46.2700,161.0,Crater
dione,Tibur Chasmata,60.0000,-69.3000,156.0,Chasma
dione,Larissa Chasma,28.9800,-69.5000,150.0,Chasma
dione,Himella Fossa,-45.6000,23.4500,147.0,Fossa
dione,Latinus,52.1900,159.0000,130.0,Crater
dione,Dido,-23.9700,-18.8200,122.0,Crater
dione,Alcander,-52.8900,64.5100,120.0,Crater
dione,Erulus,-35.0000,-104.7600,120.0,Crater
dione,Acestes,50.1000,116.6300,108.0,Crater
dione,Allecto,-7.7300,135.4400,106.0,Crater
dione,Helorus Fossa,-31.8400,-76.4800,105.0,Fossa
dione,Turnus,15.5900,14.6900,101.0,Crater
dione,Ascanius,33.4300,127.8200,98.0,Crater
dione,Prytanis,-46.2500,72.6000,96.0,Crater
dione,Romulus,-8.1500,-26.8500,90.7,Crater
dione,Sabinus,-43.6500,173.3400,88.0,Crater
dione,Dercennus,29.7500,80.0700,86.2,Crater
dione,Antenor,-7.0000,-11.5400,81.0,Crater
dione,Daucus,-15.3800,58.8600,80.0,Crater
dione,Galaesus,46.7700,63.7500,79.0,Crater
dione,Lagus,-13.5600,-102.9500,77.0,Crater
dione,Amata,5.1700,80.1900,76.0,Crater
dione,Silvius,-32.7000,27.7400,74.0,Crater
dione,Volcens,-13.8400,91.4900,74.0,Crater
dione,Phorbas,81.2000,-131.2900,69.3,Crater
dione,Pagasus,-3.0000,119.0000,67.0,Crater
dione,Haemon,84.3300,83.6900,65.2,Crater
dione,Entellus,-10.9300,149.4600,63.0,Crater
dione,Amastrus,-9.9600,122.9700,62.4,Crater
dione,Remus,-13.5800,-31.9000,62.0,Crater
dione,Lamyrus,53.6700,104.3900,61.0,Crater
dione,Assaracus,32.6500,-8.7900,60.0,Crater
dione,Tiburtus,29.1100,170.2700,59.0,Crater
dione,Herbesus,34.6800,-156.1100,58.4,Crater
dione,Murranus,12.8200,-90.7300,56.8,Crater
dione,Sulmo,55.9200,26.5000,56.0,Crater
dione,Iasus,-22.1300,114.0800,54.0,Crater
dione,Liger,24.0000,-126.6300,53.0,Crater
dione,Sagaris,4.9300,-104.2000,53.0,Crater
enceladus,Samarkand Sulci,30.0000,32.5000,360.0,Sulcus
enceladus,Diyar Planitia,-13.4000,108.0500,325.0,Planitia
enceladus,Harran Sulci,26.3900,114.0700,291.0,Sulcus
enceladus,Khorasan Fossa,-19.0000,123.1300,290.0,Fossa
enceladus,Cashmere Sulci,-52.0700,63.9400,260.0,Sulcus
enceladus,Daryabar Fossa,9.6500,-5.4200,200.0,Fossa
enceladus,Samaria Rupes,26.8600,134.8700,193.3,Rupes
enceladus,[Samaria Fossa],26.8900,134.8300,190.1,Fossa
enceladus,Al-Yaman Sulci,9.7000,168.2000,177.9,Sulcus
enceladus,Baghdad Sulcus,-86.9100,129.4600,176.0,Sulcus
enceladus,Makran Sulci,-54.4000,-135.8000,170.5,Sulcus
enceladus,Isbanir Fossa,11.3000,1.7400,170.0,Fossa
enceladus,Anbar Fossae,-8.7600,36.6800,165.0,Fossa
enceladus,Cairo Sulcus,-81.6200,-154.4800,165.0,Sulcus
enceladus,Sarandib Planitia,10.2300,48.1800,165.0,Planitia
enceladus,Hamah Sulci,27.2600,54.0000,164.0,Sulcus
enceladus,Bishangarh Fossae,-24.0000,134.2000,163.0,Fossa
enceladus,Andalús Sulci,29.1000,-79.1000,162.0,Sulcus
enceladus,Labtayt Sulci,-27.6900,73.9200,162.0,Sulcus
enceladus,Euphrates Sulcus,-68.0000,83.9300,155.0,Sulcus
enceladus,Láhej Sulci,-10.8900,58.0000,150.0,Sulcus
enceladus,Damascus Sulcus,-80.5900,74.1300,125.0,Sulcus
enceladus,Al-Medinah Sulci,-50.7000,1.4000,117.5,Sulcus
enceladus,Sind Sulci,-16.4000,-107.3000,116.0,Sulcus
enceladus,Fars Sulcus,-64.0600,69.8600,112.0,Sulcus
enceladus,Alexandria Sulcus,-75.6300,-137.5600,111.0,Sulcus
enceladus,Misr Sulci,18.0000,160.3000,109.8,Sulcus
enceladus,Cufa Dorsa,3.1900,73.8300,90.0,Dorsum
enceladus,Kaukabán Fossae,33.0000,94.0000,83.4,Fossa
enceladus,Shiraz Sulcus,-57.2000,-39.4000,80.0,Sulcus
enceladus,Camphor Sulcus,-70.7800,-149.4000,77.0,Sulcus
enceladus,Bassorah Fossa,39.8000,-19.9000,75.0,Fossa
enceladus,Ebony Dorsum,5.7400,79.4600,70.0,Dorsum
enceladus,Mosul Sulci,-58.1000,23.2700,60.0,Sulcus
enceladus,Bulak Sulcus,16.6700,-109.3200,49.4,Sulcus
europa,Cadmus Linea,38.7000,168.3000,3548.0,Linea
europa,Kennet Linea,-41.0000,48.0000,3200.0,Linea
europa,Hyperenor Linea,-12.1000,35.6000,2996.0,Linea
europa,Balgatan Regio,-50.0000,-30.0000,2500.0,Regio
europa,Falga Regio,30.0000,150.0000,2500.0,Regio
europa,Belus Linea,9.3000,128.6000,2437.0,Linea
europa,Annwn Regio,20.0000,40.0000,2300.0,Regio
europa,Chthonius Linea,-1.4000,55.8000,2180.0,Linea
europa,Minos Linea,47.2000,164.8000,2170.0,Linea
europa,Tectamus Linea,26.9000,160.8000,2096.0,Linea
europa,Udaeus Linea,48.6000,120.6000,2050.0,Linea
europa,Phineus Linea,-29.8000,40.1000,2004.0,Linea
europa,Powys Regio,0.0000,-145.0000,2000.0,Regio
europa,Asterius Linea,14.9000,89.2000,1943.0,Linea
europa,Argadnel Regio,-14.6000,151.5000,1900.0,Regio
europa,Butterdon Linea,-44.7000,-0.1000,1900.0,Linea
europa,Tara Regio,-10.0000,-75.0000,1780.0,Regio
europa,Dyfed Regio,10.0000,110.0000,1750.0,Regio
europa,Rhadamanthys Linea,19.3000,159.5000,1747.0,Linea
europa,Sharpitor Linea,65.4000,-171.7000,1650.0,Linea
europa,Phoenix Linea,16.6000,171.2000,1621.0,Linea
europa,Merrivale Linea,-41.0000,60.5000,1600.0,Linea
europa,Sparti Linea,59.3000,114.5000,1600.0,Linea
europa,Adonis Linea,-61.0000,-122.6000,1560.0,Linea
europa,Pelorus Linea,-19.8000,171.7000,1535.0,Linea
europa,Staldon Linea,-0.8000,-27.4000,1525.0,Linea
europa,Ino Linea,-1.7000,-174.6000,1515.0,Linea
europa,Drizzlecomb Linea,7.7000,-111.7000,1500.0,Linea
europa,Mehen Linea,56.0000,123.3000,1500.0,Linea
europa,Agenor Linea,-43.8000,146.5000,1496.0,Linea
europa,Agave Linea,12.8000,86.9000,1440.0,Linea
europa,Alphesiboea Linea,-25.1000,-175.9000,1438.0,Linea
europa,Glaukos Linea,57.8000,129.1000,1400.0,Linea
europa,Drumskinny Linea,48.3000,-161.0000,1375.0,Linea
europa,Cilicia Flexus,-59.5000,-171.7000,1312.0,Flexus
europa,Pasiphae Linea,41.0800,-8.0600,1306.0,Linea
europa,Corick Linea,17.8000,-18.3000,1300.0,Linea
europa,Euphemus Linea,-11.4000,-45.7000,1250.0,Linea
europa,Harmonia Linea,28.0000,-171.7000,1154.0,Linea
europa,Sidon Flexus,-66.4000,176.6000,1133.0,Flexus
europa,Echion Linea,-11.6000,174.8000,1026.0,Linea
europa,Arachne Linea,-8.8200,140.0400,954.0,Linea
europa,Acacallis Linea,-5.2700,134.4400,940.0,Linea
europa,Gortyna Flexus,-42.1000,-144.6000,940.0,Flexus
europa,Maughanasilly Fossa,-34.2400,-155.1900,920.0,Fossa
europa,Sarpedon Linea,-49.5000,-92.9000,900.0,Linea
europa,Beenalaght Fossa,1.2000,-82.0800,882.0,Fossa
europa,Tormsdale Linea,47.7000,102.0000,875.0,Linea
europa,Onga Linea,-38.7000,148.7000,870.0,Linea
europa,Astypalaea Linea,-75.8000,147.9000,817.0,Linea
europa,Delphi Flexus,-68.2000,-174.1000,793.0,Flexus
europa,Telephassa Linea,-0.8000,-177.2000,777.0,Linea
europa,Autonoë Linea,18.2000,-165.1000,760.0,Linea
europa,Androgeos Linea,11.7000,80.7000,723.0,Linea
europa,Argiope Linea,-1.7000,164.4000,689.0,Linea
europa,Thasus Linea,-66.1000,176.0000,669.3,Linea
europa,Pelagon Linea,35.5000,-173.6000,616.7,Linea
europa,Moytura Regio,-50.0000,65.7000,483.0,Regio
europa,Goirias Chaos,10.7700,179.2500,470.0,Chaos
europa,Rathcroghan Chaos,-10.0800,178.0800,430.0,Chaos
ganymede,Mysia Sulci,-7.0000,-7.8000,5066.0,Sulcus
ganymede,Marius Regio,2.5000,172.3000,4940.0,Regio
ganymede,Galileo Regio,45.0000,-127.0000,4439.0,Regio
ganymede,Melotte Regio,-12.0000,115.0000,4100.0,Regio
ganymede,Nicholson Regio,-33.1000,-6.4000,3900.0,Regio
ganymede,Arbela Sulcus,-34.0000,-4.0000,3850.0,Sulcus
ganymede,Perrine Regio,34.0000,-28.0000,3800.0,Regio
ganymede,Lakhmu Fossae,50.4000,-128.0000,3700.0,Fossa
ganymede,Phrygia Sulcus,12.0000,-20.6000,3700.0,Sulcus
ganymede,Borsippa Sulcus,-60.0000,0.0000,3300.0,Sulcus
ganymede,Sippar Sulcus,-19.9000,-170.2000,3260.0,Sulcus
ganymede,Barnard Regio,-6.8000,-11.6000,3200.0,Regio
ganymede,Babylon Sulci,-22.5000,-95.5000,3100.0,Sulcus
ganymede,Mashu Sulcus,34.0000,150.0000,2960.0,Sulcus
ganymede,Zu Fossae,38.5000,-150.5000,2900.0,Fossa
ganymede,Bubastis Sulci,-81.0000,135.0000,2730.0,Sulcus
ganymede,Shuruppak Sulcus,-19.6200,128.2500,2730.0,Sulcus
ganymede,Mummu Sulci,-39.0000,-180.0000,2680.0,Sulcus
ganymede,Uruk Sulcus,3.4000,-160.0000,2200.0,Sulcus
ganymede,Xibalba Sulcus,43.0000,-71.1000,2200.0,Sulcus
ganymede,Hursag Sulcus,-9.4900,111.5400,2183.0,Sulcus
ganymede,Sicyon Sulcus,33.7000,-15.3000,2125.0,Sulcus
ganymede,Apsu Sulci,-37.5000,134.8000,1950.0,Sulcus
ganymede,Nineveh Sulcus,23.2000,-53.0000,1700.0,Sulcus
ganymede,Lagash Sulcus,-8.9900,-164.0100,1575.0,Sulcus
ganymede,Dardanus Sulcus,-31.5000,-12.7000,1500.0,Sulcus
ganymede,Elam Sulci,60.0000,160.0000,1500.0,Sulcus
ganymede,Nun Sulci,49.5000,43.6000,1500.0,Sulcus
ganymede,Nippur Sulcus,35.4100,176.6500,1425.0,Sulcus
ganymede,Aquarius Sulcus,52.4000,-4.0000,1420.0,Sulcus
ganymede,Harpagia Sulcus,-11.8000,46.5000,1400.0,Sulcus
ganymede,Anshar Sulcus,18.9000,161.3000,1372.0,Sulcus
ganymede,Tiamat Sulcus,4.1400,150.9000,1330.0,Sulcus
ganymede,Umma Sulcus,4.1000,110.5000,1270.0,Sulcus
ganymede,Kishar Sulcus,-6.4000,143.4000,1187.0,Sulcus
ganymede,Ur Sulcus,49.5000,-177.5000,1145.0,Sulcus
ganymede,Larsa Sulci,2.0000,100.0000,1130.0,Sulcus
ganymede,Erech Sulcus,-7.3000,-179.2000,953.0,Sulcus
ganymede,Philae Sulcus,68.4000,-168.2000,900.0,Sulcus
ganymede,Byblus Sulcus,37.6000,160.3000,645.0,Sulcus
ganymede,Philus Sulcus,44.5000,150.1000,465.0,Sulcus
ganymede,Dukug Sulcus,83.7000,-2.5000,385.0,Sulcus
ganymede,Lakhamu Fossa,-11.7000,132.8000,370.0,Fossa
ganymede,Busiris Facula,16.0000,144.7000,369.0,Facula
ganymede,Akitu Sulcus,39.0000,166.0000,365.0,Sulcus
ganymede,Memphis Facula,14.1000,-131.9100,361.0,Facula
ganymede,Thebes Facula,7.1000,157.8000,360.0,Facula
ganymede,Epigeus,22.9600,179.3500,343.0,Crater
ganymede,Coptos Facula,10.0000,151.0000,329.0,Facula
ganymede,Terah Catena,7.1000,82.4000,283.0,Catena
ganymede,Hermopolis Facula,22.3000,164.7000,260.0,Facula
ganymede,Akhmin Facula,28.3000,170.2000,245.0,Facula
ganymede,Buto Facula,13.3000,156.8000,245.0,Facula
ganymede,[Punt Facula],-26.1000,117.8000,228.0,Facula
ganymede,Bigeh Facula,29.0000,-94.3000,224.0,Facula
ganymede,Siwah Facula,7.0000,-143.0000,220.0,Facula
ganymede,Anzu,63.5100,-62.7300,210.0,Crater
ganymede,Nidaba,17.7500,-123.4300,199.0,Crater
ganymede,Ninki,-8.3700,-120.7900,194.0,Crater
ganymede,Damkina,-30.1700,-4.8800,190.0,Crater
iapetus,Saragossa Terra,-45.0000,-180.0000,2300.0,Terra
iapetus,Roncevaux Terra,37.0000,120.5000,1284.0,Terra
iapetus,Toledo Montes,0.0000,-136.0000,1100.0,Mons
iapetus,Abisme,37.5300,-92.9200,767.7,Crater
iapetus,Carcassone Montes,0.0000,143.3000,740.0,Mons
iapetus,Turgis,16.9000,-28.4000,580.0,Crater
iapetus,Engelier,-40.5000,95.3000,504.0,Crater
iapetus,Gerin,-45.6000,127.0000,445.0,Crater
iapetus,Falsaron,33.8000,-82.6000,424.0,Crater
iapetus,Malprimis,-15.2000,-118.2000,377.0,Crater
iapetus,Tortelosa Montes,0.0000,-64.7000,294.0,Mons
iapetus,Naimon,9.3000,30.7000,244.0,Crater
iapetus,Ganelon,-44.3000,-19.8000,230.0,Crater
iapetus,Bramimond,38.0000,-178.0000,200.0,Crater
iapetus,Tibbald,57.0000,2.0000,160.0,Crater
iapetus,Roland,73.3000,-25.2000,144.0,Crater
iapetus,Marsilion,39.2000,-176.1000,136.0,Crater
iapetus,Astor,14.9000,38.8000,122.0,Crater
iapetus,Malun,5.9000,-41.3000,121.0,Crater
iapetus,Milon,67.9000,89.8000,119.0,Crater
iapetus,Oliver,62.5000,159.2000,113.0,Crater
iapetus,Thierry,-55.0000,-8.0000,110.0,Crater
iapetus,Jurfaleu,13.0000,-2.5000,107.0,Crater
iapetus,Ivon,18.0000,45.0000,100.0,Crater
iapetus,Ogier,42.5000,84.9000,100.0,Crater
iapetus,Hamon,10.6000,90.0000,96.0,Crater
iapetus,Charlemagne,55.0000,101.2000,95.0,Crater
iapetus,Rabel,-64.4000,-166.2000,91.0,Crater
iapetus,Turpin,47.7000,-1.4000,87.0,Crater
iapetus,Othon,33.3000,12.2000,86.0,Crater
iapetus,Cordova Mons,0.0000,153.8000,85.0,Mons
iapetus,Berenger,62.1000,140.3000,84.0,Crater
iapetus,Clarin,18.3000,-71.6000,84.0,Crater
iapetus,Pinabel,-39.0000,-33.0000,83.0,Crater
iapetus,Geboin,58.6000,-173.4000,81.0,Crater
iapetus,Basbrun,-52.0000,-111.8000,80.0,Crater
iapetus,Basan,33.3000,165.3000,76.0,Crater
iapetus,Margaris,27.7000,-135.8000,75.0,Crater
iapetus,Corsablis,0.9000,-114.2000,73.0,Crater
iapetus,Seville Mons,0.0000,13.7000,69.0,Mons
iapetus,Baligant,16.4000,135.1000,66.0,Crater
iapetus,Gayne Mons,0.0000,-176.0000,65.0,Mons
iapetus,Grandoyne,17.7000,145.5000,65.0,Crater
iapetus,Johun,12.4000,-83.4000,64.0,Crater
iapetus,Godefroy,71.9000,110.9000,63.0,Crater
iapetus,Matthay,-3.5000,172.6000,58.0,Crater
iapetus,Timozel,-9.9000,147.7000,58.0,Crater
iapetus,Adelroth,6.6000,176.4000,57.0,Crater
iapetus,Besgun,76.0000,50.2000,56.0,Crater
iapetus,Valterne Mons,0.0000,-170.6000,50.0,Mons
iapetus,Climborin,30.4000,-116.9000,49.0,Crater
iapetus,Dapamort,36.6000,-84.9000,49.0,Crater
iapetus,Nevelon,-33.2000,163.0000,49.0,Crater
iapetus,Valdebron,29.6000,-104.4000,49.0,Crater
iapetus,Anseïs,-40.7000,69.2000,48.0,Crater
iapetus,Bevon,70.7000,-93.0000,48.0,Crater
iapetus,Garlon,-3.2000,119.5000,47.0,Crater
iapetus,Sorence Mons,0.0000,166.3000,46.0,Mons
iapetus,Haltile Mons,0.0000,169.6000,45.0,Mons
iapetus,Lorant,65.2000,-159.8000,44.0,Crater
io,Colchis Regio,2.4700,151.5800,2860.0,Regio
io,Media Regio,10.6200,-59.9000,2627.9,Regio
io,Bosphorus Regio,-2.3000,-120.5700,1607.2,Regio
io,Tarsus Regio,-36.6900,-53.4000,1498.6,Regio
io,Illyrikon Regio,-70.8800,-177.7700,1000.5,Regio
io,Nemea Planum,-72.3300,94.1800,888.5,Planum
io,Chalybes Regio,56.8800,-84.6700,760.3,Regio
io,Bactria Regio,-48.2500,-123.5300,663.1,Regio
io,Mycenae Regio,-36.6000,-164.9500,594.0,Regio
io,Lerna Regio,-61.8000,67.9200,580.9,Regio
io,Dorian Montes,-25.1000,163.3100,566.2,Mons
io,Cocytus Montes,60.9800,28.3300,542.0,Mons
io,Boösaule Montes,-3.7500,90.8900,540.0,Mons
io,Dodona Planum,-59.0700,11.7700,515.0,Planum
io,Bulicame Regio,34.7900,170.0600,514.2,Regio
io,Masubi,-50.2900,-57.3000,509.1,Eruptive center
io,Hi'iaka Montes,-4.6800,-81.9600,500.0,Mons
io,Masubi Fluctus,-50.8900,-57.7700,499.9,Fluctus
io,Tung Yo Fluctus,-17.3200,3.4900,457.9,Fluctus
io,Prometheus,-1.5200,-153.9400,438.8,Eruptive center
io,Donar Fluctus,20.2900,173.0100,436.4,Fluctus
io,Zal Montes,38.4300,-77.1800,436.0,Mons
io,Tohil Mons,-28.4200,-161.5700,433.4,Mons
io,Volund,29.3300,-171.7500,427.3,Eruptive center
io,Lyrcea Planum,-41.9900,90.5700,424.9,Planum
io,Nile Montes,53.6500,109.5400,417.0,Mons
io,Acala Fluctus,9.0300,25.4000,415.3,Fluctus
io,Amirani,25.0200,-115.1800,415.2,Eruptive center
io,Fjorgynn Fluctus,10.9200,1.2000,413.8,Fluctus
io,Marduk,-29.6400,150.1000,370.1,Eruptive center
io,Uta Fluctus,-33.1200,-16.1400,366.7,Fluctus
io,Lei-Kung Fluctus,40.1300,153.5600,347.4,Fluctus
io,Haemus Montes,-70.1200,-46.6100,331.3,Mons
io,Telegonus Mensae,-52.3700,-115.3700,329.5,Mensa
io,Ethiopia Planum,-45.4800,-24.4500,328.0,Planum
io,[Tvashtar Catena],62.7600,-123.5300,306.2,Catena
io,Tvashtar Paterae,62.7600,-123.5300,305.0,Patera
io,Monan Mons,15.5400,-104.2000,293.8,Mons
io,Tvashtar Mensae,61.6000,-119.9400,293.0,Mensa
io,Capaneus Mensa,-16.8200,-121.4000,288.1,Mensa
io,Pan Mensa,-51.8000,-30.8600,287.5,Mensa
io,Euxine Mons,26.3200,-126.4400,282.1,Mons
io,Euboea Montes,-47.9400,24.2200,274.9,Mons
io,Kanehekili Fluctus,-17.1800,-33.3700,258.7,Fluctus
io,Skythia Mons,26.3300,-97.8100,249.6,Mons
io,Danube Planum,-22.5800,101.9900,248.0,Planum
io,Mixcoatl Fluctus,-46.3200,-141.1500,246.0,Fluctus
io,[Mazda Catena],-8.8100,46.7200,240.8,Catena
io,Thor,39.2000,-133.1200,240.3,Eruptive center
io,Iopolis Planum,-35.2900,27.2900,234.7,Planum
io,Loki Patera,13.0100,51.2100,226.6,Patera
io,Mazda Paterae,-8.2000,46.9900,223.0,Patera
io,Egypt Mons,-41.5600,103.0300,218.5,Mons
io,Gish Bar Mons,18.5000,-88.9500,218.5,Mons
io,Mongibello Mons,22.6700,-67.0500,214.6,Mons
io,Shamshu Mons,-12.0400,-71.4100,210.0,Mons
io,Echo Mensa,-79.9200,5.4700,205.1,Mensa
io,Pillan Mons,-8.0200,114.5900,201.1,Mons
io,Marduk Fluctus,-26.8000,148.6700,200.0,Fluctus
io,Apis Tholus,-11.9200,12.3000,199.2,Tholus
mars,Terra Cimmeria,-32.6800,147.7500,5855.9,Terra
mars,Noachis Terra,-50.4100,-5.1600,5519.4,Terra
mars,Arabia Terra,21.2500,5.7200,4851.7,Terra
mars,Terra Sabaea,2.7200,51.3000,4688.4,Terra
mars,Aonia Terra,-60.2000,-97.0500,3873.5,Terra
mars,Valles Marineris,-14.0100,-58.5900,3761.3,Vallis
mars,Terra Sirenum,-39.4900,-154.1500,3635.2,Terra
mars,Utopia Planitia,46.7400,117.5200,3560.4,Planitia
mars,Acidalia Planitia,49.7600,-20.7400,3505.0,Planitia
mars,Promethei Terra,-64.3700,97.0000,3244.3,Terra
mars,Elysium Planitia,2.9800,154.7400,3000.8,Planitia
mars,Phlegra Dorsa,25.0800,170.3700,2818.6,Dorsum
mars,Amazonis Planitia,25.7500,-162.9100,2809.0,Planitia
mars,Margaritifer Terra,-1.8500,-24.9200,2733.2,Terra
mars,Sirenum Fossae,-35.5700,-162.7400,2731.2,Fossa
mars,Utopia Rupēs,43.5300,86.0300,2492.7,Rupes
mars,Tyrrhena Terra,-11.9000,88.8400,2470.1,Terra
mars,Tantalus Fossae,49.8300,-96.0900,2361.9,Fossa
mars,Hellas Planitia,-42.4300,70.5000,2299.2,Planitia
mars,Arcadia Planitia,49.0200,-171.8500,2245.0,Planitia
mars,Nepenthes Mensae,9.1900,119.4200,2176.2,Mensa
mars,Tempe Fossae,40.4200,-71.4000,2116.2,Fossa
mars,Icaria Fossae,-48.0900,-125.1600,2115.4,Fossa
mars,Alba Fossae,49.3900,-106.8200,2072.0,Fossa
mars,Tharsis Montes,1.5700,-112.5800,2058.9,Mons
mars,Claritas Fossae,-27.8900,-104.2400,2030.6,Fossa
mars,Vastitas Borealis,87.7300,32.5300,2002.9,Vastitas
mars,Tempe Terra,38.6900,-70.6100,1954.9,Terra
mars,Arcadia Dorsa,55.9000,-137.5600,1952.7,Dorsum
mars,Daedalia Planum,-18.3500,-125.9500,1922.0,Planum
mars,Olympus Rupes,18.4000,-133.5600,1914.8,Rupes
mars,Mareotis Fossae,44.3400,-76.1200,1907.9,Fossa
mars,Xanthe Terra,1.6000,-48.0500,1867.7,Terra
mars,Lunae Planum,10.7900,-65.5100,1817.7,Planum
